goos: linux
goarch: amd64
pkg: github.com/RoaringBitmap/roaring/v2
cpu: INTEL(R) XEON(R) GOLD 6548N
BenchmarkOrs/two-by-two-128                     	    1227	    991365 ns/op	  114783 B/op	    3641 allocs/op
BenchmarkOrs/two-by-two-128                     	     645	   1092781 ns/op	  114777 B/op	    3641 allocs/op
BenchmarkOrs/two-by-two-128                     	     544	    954935 ns/op	  114769 B/op	    3641 allocs/op
BenchmarkOrs/two-by-two-128                     	     663	   1213990 ns/op	  114768 B/op	    3641 allocs/op
BenchmarkOrs/two-by-two-128                     	     460	   1280856 ns/op	  114769 B/op	    3641 allocs/op
BenchmarkOrs/two-by-two-128                     	     450	   1262507 ns/op	  114768 B/op	    3641 allocs/op
BenchmarkOrs/two-by-two-128                     	     456	   1287662 ns/op	  114769 B/op	    3641 allocs/op
BenchmarkOrs/two-by-two-128                     	     464	   1230771 ns/op	  114768 B/op	    3641 allocs/op
BenchmarkOrs/fast-128                           	     450	   1328676 ns/op	  114840 B/op	    3641 allocs/op
BenchmarkOrs/fast-128                           	     446	   1328854 ns/op	  114840 B/op	    3641 allocs/op
BenchmarkOrs/fast-128                           	     452	   1322715 ns/op	  114840 B/op	    3641 allocs/op
BenchmarkOrs/fast-128                           	     454	   1327251 ns/op	  114840 B/op	    3641 allocs/op
BenchmarkOrs/fast-128                           	     441	   1321072 ns/op	  114840 B/op	    3641 allocs/op
BenchmarkOrs/fast-128                           	     493	   1308061 ns/op	  114840 B/op	    3641 allocs/op
BenchmarkOrs/fast-128                           	     442	   1327370 ns/op	  114840 B/op	    3641 allocs/op
BenchmarkOrs/fast-128                           	     450	   1336976 ns/op	  114840 B/op	    3641 allocs/op
BenchmarkOrs/next/add-128                       	     408	   1703713 ns/op	  125665 B/op	    2834 allocs/op
BenchmarkOrs/next/add-128                       	     344	   1588830 ns/op	  125665 B/op	    2834 allocs/op
BenchmarkOrs/next/add-128                       	     345	   1716827 ns/op	  125665 B/op	    2834 allocs/op
BenchmarkOrs/next/add-128                       	     357	   1680557 ns/op	  125665 B/op	    2834 allocs/op
BenchmarkOrs/next/add-128                       	     342	   1683050 ns/op	  125665 B/op	    2834 allocs/op
BenchmarkOrs/next/add-128                       	     382	   1653032 ns/op	  125666 B/op	    2834 allocs/op
BenchmarkOrs/next/add-128                       	     351	   1730071 ns/op	  125665 B/op	    2834 allocs/op
BenchmarkOrs/next/add-128                       	     345	   1700331 ns/op	  125665 B/op	    2834 allocs/op
BenchmarkIntersectionRoaring-128                	  278395	      2074 ns/op	     568 B/op	      12 allocs/op
BenchmarkIntersectionRoaring-128                	  274244	      2116 ns/op	     568 B/op	      12 allocs/op
BenchmarkIntersectionRoaring-128                	  285842	      2098 ns/op	     568 B/op	      12 allocs/op
BenchmarkIntersectionRoaring-128                	  293072	      2119 ns/op	     568 B/op	      12 allocs/op
BenchmarkIntersectionRoaring-128                	  338544	      2111 ns/op	     568 B/op	      12 allocs/op
BenchmarkIntersectionRoaring-128                	  339891	      2090 ns/op	     568 B/op	      12 allocs/op
BenchmarkIntersectionRoaring-128                	  295944	      2103 ns/op	     568 B/op	      12 allocs/op
BenchmarkIntersectionRoaring-128                	  278107	      2119 ns/op	     568 B/op	      12 allocs/op
BenchmarkIntersectionCardinalityRoaring-128     	 4129872	       131.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkIntersectionCardinalityRoaring-128     	 3834792	       133.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkIntersectionCardinalityRoaring-128     	 3898334	       131.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkIntersectionCardinalityRoaring-128     	 3815805	       132.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkIntersectionCardinalityRoaring-128     	 4387236	       130.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkIntersectionCardinalityRoaring-128     	 4599194	       131.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkIntersectionCardinalityRoaring-128     	 3841797	       133.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkIntersectionCardinalityRoaring-128     	 3913381	       133.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnionRoaring-128                       	    1164	    502132 ns/op	  277368 B/op	    3086 allocs/op
BenchmarkUnionRoaring-128                       	    1215	    495000 ns/op	  277368 B/op	    3086 allocs/op
BenchmarkUnionRoaring-128                       	    1197	    495509 ns/op	  277368 B/op	    3086 allocs/op
BenchmarkUnionRoaring-128                       	    1179	    485317 ns/op	  277368 B/op	    3086 allocs/op
BenchmarkUnionRoaring-128                       	    1747	    497051 ns/op	  277368 B/op	    3086 allocs/op
BenchmarkUnionRoaring-128                       	    1174	    530461 ns/op	  277368 B/op	    3086 allocs/op
BenchmarkUnionRoaring-128                       	    1221	    505612 ns/op	  277368 B/op	    3086 allocs/op
BenchmarkUnionRoaring-128                       	    1272	    506968 ns/op	  277368 B/op	    3086 allocs/op
BenchmarkChecksum/checksum-1-128                	1000000000	         0.0000015 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-1-128                	1000000000	         0.0000015 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-1-128                	1000000000	         0.0000007 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-1-128                	1000000000	         0.0000015 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-1-128                	1000000000	         0.0000015 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-1-128                	1000000000	         0.0000011 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-1-128                	1000000000	         0.0000008 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-1-128                	1000000000	         0.0000012 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-1-128     	1000000000	         0.0000013 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-1-128     	1000000000	         0.0000015 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-1-128     	1000000000	         0.0000008 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-1-128     	1000000000	         0.0000011 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-1-128     	1000000000	         0.0000010 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-1-128     	1000000000	         0.0000014 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-1-128     	1000000000	         0.0000013 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-1-128     	1000000000	         0.0000008 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-2-128                	1000000000	         0.0000015 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-2-128                	1000000000	         0.0000015 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-2-128                	1000000000	         0.0000012 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-2-128                	1000000000	         0.0000016 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-2-128                	1000000000	         0.0000007 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-2-128                	1000000000	         0.0000017 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-2-128                	1000000000	         0.0000014 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-2-128                	1000000000	         0.0000012 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-2-128     	1000000000	         0.0000018 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-2-128     	1000000000	         0.0000008 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-2-128     	1000000000	         0.0000014 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-2-128     	1000000000	         0.0000009 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-2-128     	1000000000	         0.0000013 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-2-128     	1000000000	         0.0000012 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-2-128     	1000000000	         0.0000013 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-2-128     	1000000000	         0.0000009 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-4-128                	1000000000	         0.0000017 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-4-128                	1000000000	         0.0000011 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-4-128                	1000000000	         0.0000009 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-4-128                	1000000000	         0.0000015 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-4-128                	1000000000	         0.0000013 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-4-128                	1000000000	         0.0000011 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-4-128                	1000000000	         0.0000010 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-4-128                	1000000000	         0.0000013 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-4-128     	1000000000	         0.0000007 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-4-128     	1000000000	         0.0000010 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-4-128     	1000000000	         0.0000018 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-4-128     	1000000000	         0.0000016 ns/op	       0 B/op	       0 allocs/op
