goos: linux
goarch: amd64
pkg: github.com/RoaringBitmap/roaring/v2
cpu: INTEL(R) XEON(R) GOLD 6548N
BenchmarkOrs/two-by-two-128                     	    1282	   1070574 ns/op	  113181 B/op	    3500 allocs/op
BenchmarkOrs/two-by-two-128                     	     487	   1148241 ns/op	  113168 B/op	    3500 allocs/op
BenchmarkOrs/two-by-two-128                     	     595	   1180570 ns/op	  113178 B/op	    3500 allocs/op
BenchmarkOrs/two-by-two-128                     	     488	   1088571 ns/op	  113168 B/op	    3500 allocs/op
BenchmarkOrs/two-by-two-128                     	     474	   1189970 ns/op	  113168 B/op	    3500 allocs/op
BenchmarkOrs/two-by-two-128                     	     471	   1178180 ns/op	  113169 B/op	    3500 allocs/op
BenchmarkOrs/two-by-two-128                     	     484	   1167098 ns/op	  113168 B/op	    3500 allocs/op
BenchmarkOrs/two-by-two-128                     	     499	   1197989 ns/op	  113168 B/op	    3500 allocs/op
BenchmarkOrs/fast-128                           	     482	   1268331 ns/op	  113264 B/op	    3501 allocs/op
BenchmarkOrs/fast-128                           	     483	   1248537 ns/op	  113265 B/op	    3501 allocs/op
BenchmarkOrs/fast-128                           	     475	   1266703 ns/op	  113264 B/op	    3501 allocs/op
BenchmarkOrs/fast-128                           	     472	   1264216 ns/op	  113264 B/op	    3501 allocs/op
BenchmarkOrs/fast-128                           	     474	   1237583 ns/op	  113264 B/op	    3501 allocs/op
BenchmarkOrs/fast-128                           	     462	   1179647 ns/op	  113264 B/op	    3501 allocs/op
BenchmarkOrs/fast-128                           	     475	   1238246 ns/op	  113264 B/op	    3501 allocs/op
BenchmarkOrs/fast-128                           	     472	   1229910 ns/op	  113264 B/op	    3501 allocs/op
BenchmarkOrs/next/add-128                       	     424	   1636902 ns/op	  124449 B/op	    2758 allocs/op
BenchmarkOrs/next/add-128                       	     376	   1593165 ns/op	  124449 B/op	    2758 allocs/op
BenchmarkOrs/next/add-128                       	     375	   1560647 ns/op	  124449 B/op	    2758 allocs/op
BenchmarkOrs/next/add-128                       	     368	   1630928 ns/op	  124449 B/op	    2758 allocs/op
BenchmarkOrs/next/add-128                       	     378	   1597954 ns/op	  124449 B/op	    2758 allocs/op
BenchmarkOrs/next/add-128                       	     367	   1627331 ns/op	  124449 B/op	    2758 allocs/op
BenchmarkOrs/next/add-128                       	     397	   1611724 ns/op	  124449 B/op	    2758 allocs/op
BenchmarkOrs/next/add-128                       	     369	   1604001 ns/op	  124449 B/op	    2758 allocs/op
BenchmarkIntersectionRoaring-128                	  293146	      2030 ns/op	     568 B/op	      12 allocs/op
BenchmarkIntersectionRoaring-128                	  370735	      2022 ns/op	     568 B/op	      12 allocs/op
BenchmarkIntersectionRoaring-128                	  315693	      2007 ns/op	     568 B/op	      12 allocs/op
BenchmarkIntersectionRoaring-128                	  297602	      2001 ns/op	     568 B/op	      12 allocs/op
BenchmarkIntersectionRoaring-128                	  293164	      1990 ns/op	     568 B/op	      12 allocs/op
BenchmarkIntersectionRoaring-128                	  282222	      2017 ns/op	     568 B/op	      12 allocs/op
BenchmarkIntersectionRoaring-128                	  278941	      2003 ns/op	     568 B/op	      12 allocs/op
BenchmarkIntersectionRoaring-128                	  283918	      1971 ns/op	     568 B/op	      12 allocs/op
