goos: linux
goarch: amd64
pkg: github.com/RoaringBitmap/roaring/v2
cpu: INTEL(R) XEON(R) GOLD 6548N
BenchmarkOrs/two-by-two-128                     	     783	   1242181 ns/op	  113311 B/op	    3509 allocs/op
BenchmarkOrs/two-by-two-128                     	     493	   1154638 ns/op	  113296 B/op	    3509 allocs/op
BenchmarkOrs/two-by-two-128                     	     483	   1108661 ns/op	  113297 B/op	    3509 allocs/op
BenchmarkOrs/two-by-two-128                     	     472	   1199313 ns/op	  113296 B/op	    3509 allocs/op
BenchmarkOrs/two-by-two-128                     	     480	   1259541 ns/op	  113297 B/op	    3509 allocs/op
BenchmarkOrs/two-by-two-128                     	     472	   1169955 ns/op	  113296 B/op	    3509 allocs/op
BenchmarkOrs/two-by-two-128                     	     477	   1241547 ns/op	  113296 B/op	    3509 allocs/op
BenchmarkOrs/two-by-two-128                     	     478	   1236672 ns/op	  113296 B/op	    3509 allocs/op
BenchmarkOrs/fast-128                           	     477	   1210262 ns/op	  113376 B/op	    3510 allocs/op
BenchmarkOrs/fast-128                           	     561	   1214239 ns/op	  113376 B/op	    3510 allocs/op
BenchmarkOrs/fast-128                           	     478	   1162384 ns/op	  113376 B/op	    3510 allocs/op
BenchmarkOrs/fast-128                           	     464	   1171022 ns/op	  113376 B/op	    3510 allocs/op
BenchmarkOrs/fast-128                           	     470	   1105435 ns/op	  113377 B/op	    3510 allocs/op
BenchmarkOrs/fast-128                           	     471	   1139360 ns/op	  113376 B/op	    3510 allocs/op
BenchmarkOrs/fast-128                           	     526	   1107444 ns/op	  113376 B/op	    3510 allocs/op
BenchmarkOrs/fast-128                           	     697	   1193777 ns/op	  113376 B/op	    3510 allocs/op
BenchmarkOrs/next/add-128                       	     392	   1505277 ns/op	  124817 B/op	    2781 allocs/op
BenchmarkOrs/next/add-128                       	     358	   1542009 ns/op	  124817 B/op	    2781 allocs/op
BenchmarkOrs/next/add-128                       	     423	   1556741 ns/op	  124817 B/op	    2781 allocs/op
BenchmarkOrs/next/add-128                       	     404	   1662838 ns/op	  124817 B/op	    2781 allocs/op
BenchmarkOrs/next/add-128                       	     375	   1646938 ns/op	  124817 B/op	    2781 allocs/op
BenchmarkOrs/next/add-128                       	     373	   1593867 ns/op	  124817 B/op	    2781 allocs/op
BenchmarkOrs/next/add-128                       	     364	   1652479 ns/op	  124817 B/op	    2781 allocs/op
BenchmarkOrs/next/add-128                       	     362	   1549698 ns/op	  124817 B/op	    2781 allocs/op
BenchmarkIntersectionRoaring-128                	  310759	      2020 ns/op	     568 B/op	      12 allocs/op
BenchmarkIntersectionRoaring-128                	  286129	      2029 ns/op	     568 B/op	      12 allocs/op
BenchmarkIntersectionRoaring-128                	  282952	      1945 ns/op	     568 B/op	      12 allocs/op
BenchmarkIntersectionRoaring-128                	  309001	      1972 ns/op	     568 B/op	      12 allocs/op
BenchmarkIntersectionRoaring-128                	  299913	      2024 ns/op	     568 B/op	      12 allocs/op
BenchmarkIntersectionRoaring-128                	  307141	      1997 ns/op	     568 B/op	      12 allocs/op
BenchmarkIntersectionRoaring-128                	  294232	      2013 ns/op	     568 B/op	      12 allocs/op
BenchmarkIntersectionRoaring-128                	  307306	      2023 ns/op	     568 B/op	      12 allocs/op
BenchmarkIntersectionCardinalityRoaring-128     	 5731844	       101.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkIntersectionCardinalityRoaring-128     	 4343618	       118.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkIntersectionCardinalityRoaring-128     	 5755790	        95.13 ns/op	       0 B/op	       0 allocs/op
BenchmarkIntersectionCardinalityRoaring-128     	 5544607	       101.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkIntersectionCardinalityRoaring-128     	 5761692	       100.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkIntersectionCardinalityRoaring-128     	 6173786	       101.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkIntersectionCardinalityRoaring-128     	 5777790	       102.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkIntersectionCardinalityRoaring-128     	 5860408	       103.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnionRoaring-128                       	    1150	    499217 ns/op	  277368 B/op	    3086 allocs/op
BenchmarkUnionRoaring-128                       	    1178	    491356 ns/op	  277368 B/op	    3086 allocs/op
BenchmarkUnionRoaring-128                       	    1219	    508997 ns/op	  277368 B/op	    3086 allocs/op
BenchmarkUnionRoaring-128                       	    1182	    496816 ns/op	  277368 B/op	    3086 allocs/op
BenchmarkUnionRoaring-128                       	    1161	    498175 ns/op	  277368 B/op	    3086 allocs/op
BenchmarkUnionRoaring-128                       	    1190	    494284 ns/op	  277368 B/op	    3086 allocs/op
BenchmarkUnionRoaring-128                       	    1237	    497870 ns/op	  277368 B/op	    3086 allocs/op
BenchmarkUnionRoaring-128                       	    1258	    503084 ns/op	  277368 B/op	    3086 allocs/op
BenchmarkChecksum/checksum-1-128                	1000000000	         0.0000014 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-1-128                	1000000000	         0.0000014 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-1-128                	1000000000	         0.0000014 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-1-128                	1000000000	         0.0000009 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-1-128                	1000000000	         0.0000016 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-1-128                	1000000000	         0.0000013 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-1-128                	1000000000	         0.0000013 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-1-128                	1000000000	         0.0000009 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-1-128     	1000000000	         0.0000011 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-1-128     	1000000000	         0.0000013 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-1-128     	1000000000	         0.0000008 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-1-128     	1000000000	         0.0000011 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-1-128     	1000000000	         0.0000010 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-1-128     	1000000000	         0.0000013 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-1-128     	1000000000	         0.0000010 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-1-128     	1000000000	         0.0000011 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-2-128                	1000000000	         0.0000013 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-2-128                	1000000000	         0.0000013 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-2-128                	1000000000	         0.0000010 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-2-128                	1000000000	         0.0000011 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-2-128                	1000000000	         0.0000012 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-2-128                	1000000000	         0.0000015 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-2-128                	1000000000	         0.0000012 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-2-128                	1000000000	         0.0000012 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-2-128     	1000000000	         0.0000012 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-2-128     	1000000000	         0.0000013 ns/op	       0 B/op	       0 allocs/op
