date	sha	gbps	tag
2024-08-24	434b11a977	0.541489	v2.9.1
2024-09-01	9a59edb3a0	0.540185	
2024-09-01	d1e87a7ead	0.540560	
2024-09-01	989bc53872	0.541232	
2024-09-01	c149d0b7cd	0.541596	
2024-09-01	f58e0ffcfa	0.537218	
2024-09-01	59cc693516	0.540778	
2024-09-02	08851a3e03	0.537041	
2024-09-02	1cca580d85	0.540116	v2.9.2
2024-09-02	0190831e16	0.523549	
2024-09-02	052d3428d5	0.529672	
2024-09-02	679ce2d62a	0.532425	
2024-09-02	7f1a84347f	0.531888	
2024-09-02	8424a8e5c8	0.529865	
2024-09-02	9a1fcad41b	0.521751	
2024-09-02	a23c69fac7	0.531889	
2024-09-02	afa68ce905	0.501034	
2024-09-02	e4b2293b42	0.524996	
2024-09-02	f77820dd57	0.531959	
2024-09-02	fa8fbf0b7a	0.526074	
2024-09-02	9ec9445351	0.525132	
2024-09-03	16ed88eec6	0.525461	
2024-09-03	5fc19f4a8d	0.528398	
2024-09-03	4ace34bae7	0.520948	
2024-09-06	b431670699	0.527005	
2024-09-18	7459f6593f	0.527533	
2024-09-18	e730702cb2	0.527221	
2024-09-18	9bb54ec508	0.530498	
2024-10-05	3beec34e82	0.527370	
2024-10-05	c0ed932c1e	0.531004	
2024-10-07	ddada9b1a7	0.532379	
2024-10-08	1a705d5870	0.530826	
2024-10-08	2631aa6329	0.531907	
2024-10-08	16bd2cb0a6	0.530642	
2024-10-08	c51097c0ec	0.530708	
2024-10-08	136666273f	0.530471	
2024-10-08	14703dd19a	0.530691	
2024-10-10	37c49972af	0.519034	
2024-10-15	d10fce0483	0.517364	
2024-10-15	60f756c2a1	0.517840	
2024-10-15	6fc9a708eb	0.518297	
2024-10-15	e685c55f1b	0.517757	
2024-10-16	63cb72a44a	0.530447	
2024-10-18	f3da837211	0.529532	
2024-11-02	7a9f5918a4	0.534522	
2024-11-02	fdca317d55	0.531063	
2024-11-02	9302e19718	0.531009	
2024-11-02	e91877bf13	0.527684	
2024-11-09	9dc3492568	0.533512	
2024-11-09	681431d8f5	0.530941	
2024-11-09	5a99dc5db5	0.530743	
2024-11-09	2c99f658b3	0.533179	
2024-11-12	f0cac8dd9f	0.529547	
2024-11-12	b6bfebb857	0.532940	
2024-11-12	7eb7727ee2	0.531141	
2024-11-18	418f36f313	0.533574	
2024-11-20	c3cbb51c6b	0.538258	
2024-11-21	0f9cac409c	0.534126	
2024-11-21	363501bb47	0.543026	
2024-11-30	3f1ff2b2d2	0.535796	
2024-11-30	1410b0b3d4	0.539581	
2024-11-30	40968587e3	0.537949	
2024-12-01	6bd7ab9465	0.538784	
2024-12-01	afd9db5b47	0.540121	
2024-12-01	f7fbea5725	0.539137	
2024-12-05	ec7338affb	0.540160	
2024-12-05	b747c7a271	0.543162	
2024-12-05	7b6ccf190f	0.536287	
2024-12-19	e49169f46f	0.540033	
2024-12-20	925969b27e	0.538365	
2024-12-24	fb0e5bd8c5	0.545748	
2024-12-26	3a302b5f4f	0.541838	
2025-01-01	390b23baa3	0.536300	
2025-01-05	63a65f1080	0.542025	
2025-01-05	a383f41041	0.540477	
2025-01-08	02ca5208a9	0.536317	
2025-01-08	04d15d4a7f	0.524996	
2025-01-08	06264b9274	0.529116	
2025-01-08	06b9a45338	0.536892	
2025-01-08	09b66d5408	0.530370	
2025-01-08	0a23fb7a6f	0.526854	
2025-01-08	0b04fca575	0.522560	
2025-01-08	0cf0f83787	0.531439	
2025-01-08	0f4ea6682e	0.532465	
2025-01-08	1005eb8dfb	0.514730	
2025-01-08	10400e7f29	0.531558	
2025-01-08	15ef7b082a	0.526168	
2025-01-08	1629b61625	0.523954	
2025-01-08	19ccabe302	0.539204	
2025-01-08	1adadc7317	0.514549	
2025-01-08	1ee34da1aa	0.516396	
