date	sha	tag	canada_mbs	mesh_mbs
2024-08-14	3e57d8dcfb	v6.1.4	1153.3	865.9
2024-08-31	9117ec4f69		1154.7	866.0
2024-09-02	564af6d074	v6.1.5	1150.3	868.9
2024-09-08	00c8c7b0d5	v6.1.6	1154.2	872.3
2024-09-15	4266c34620		1152.5	870.9
2024-10-24	7665574628		1151.6	864.6
2024-11-21	cb1d42aaa1	v7.0.0	1171.6	878.7
2024-11-26	82865ad475		1170.9	881.1
2024-12-13	be9a8453c4		1170.5	879.7
2025-01-16	482cc1f251		1170.5	879.5
2025-02-08	77cc847c84	v8.0.0	1170.0	880.4
2025-03-10	1bf7010153	v8.0.1	1168.9	881.2
2025-03-11	50a80a73ab	v8.0.2	1171.1	881.3
2025-03-25	c5a3ca37c4		1171.6	880.7
2025-05-19	b8085ba363		1169.7	880.1
2025-08-25	0a9257e825		1170.7	881.2
2025-09-18	88b1e5321c	v8.1.0	1160.2	854.8
2025-09-30	83a4f696d7		1160.0	854.0
2025-10-30	7b21183a93		1157.8	854.6
2025-11-23	f8c573d741		1160.2	849.4
2025-12-27	dd77fb5e4c	v8.2.0	1161.4	852.6
2025-12-29	11ce67e5eb	v8.2.1	1159.4	849.2
2025-12-31	011763f31c		1161.0	854.4
2025-12-31	97b54ca9e7	v8.2.2	1160.4	847.7
2026-01-28	c5256521ae		1107.9	815.9
2026-02-03	01ce95dfe4	v8.2.3	1100.0	813.6
2026-02-23	9f30728ce9		1100.1	815.0
2026-03-10	eb9ab42c0a	v8.2.4	1292.1	976.7
2026-03-27	d7ad33a80e		1290.6	971.3
2026-04-16	05087a303d	v8.2.5	1291.8	977.1
2026-05-27	7790aa6231		1291.1	968.6
2026-06-01	cfd12ebcf1	v8.2.6	1306.9	1107.3
2026-06-07	e0b53eaf63	v8.2.7	1387.5	1382.9
2026-06-08	e8ec8e8f34	v8.2.8	1386.5	1380.9
2026-06-11	8234a89623	v8.2.9	1386.5	1370.5
2026-06-14	34164f547b	v8.2.10	1386.8	1378.1
2026-06-18	8ec5d236e2		1384.9	1379.0
2026-07-13	f6df0f2917		1642.7	1474.4
2026-08-20	a8a02f7748		1643.7	1475.9
