date	sha	tag	metric	value	subject
2024-08-07	99ef8b25bcb7		or_successive/census1881	786.7	Add `roaring64_bitmap_move_from_roaring32` function (#649)
2024-08-07	99ef8b25bcb7		and_successive/census1881	20.4	Add `roaring64_bitmap_move_from_roaring32` function (#649)
2024-08-07	99ef8b25bcb7		and_cardinality/census1881	18.2	Add `roaring64_bitmap_move_from_roaring32` function (#649)
2024-08-07	99ef8b25bcb7		contains/census1881	4953.8	Add `roaring64_bitmap_move_from_roaring32` function (#649)
2024-08-07	99ef8b25bcb7		iterate/census1881	2432.8	Add `roaring64_bitmap_move_from_roaring32` function (#649)
2024-08-07	99ef8b25bcb7		to_array/census1881	118.8	Add `roaring64_bitmap_move_from_roaring32` function (#649)
2024-08-07	99ef8b25bcb7		deserialize/census1881	348.4	Add `roaring64_bitmap_move_from_roaring32` function (#649)
2024-08-07	99ef8b25bcb7		cardinality64/census1881	15.5	Add `roaring64_bitmap_move_from_roaring32` function (#649)
2024-08-07	99ef8b25bcb7		iterate64/census1881	3427.0	Add `roaring64_bitmap_move_from_roaring32` function (#649)
2024-08-07	99ef8b25bcb7		or_successive64/census1881	585.2	Add `roaring64_bitmap_move_from_roaring32` function (#649)
2024-08-07	99ef8b25bcb7		or_successive/census-income	810.5	Add `roaring64_bitmap_move_from_roaring32` function (#649)
2024-08-07	99ef8b25bcb7		and_successive/census-income	667.5	Add `roaring64_bitmap_move_from_roaring32` function (#649)
2024-08-07	99ef8b25bcb7		and_cardinality/census-income	444.2	Add `roaring64_bitmap_move_from_roaring32` function (#649)
2024-08-07	99ef8b25bcb7		contains/census-income	14019.8	Add `roaring64_bitmap_move_from_roaring32` function (#649)
2024-08-07	99ef8b25bcb7		iterate/census-income	33885.9	Add `roaring64_bitmap_move_from_roaring32` function (#649)
2024-08-07	99ef8b25bcb7		to_array/census-income	1340.3	Add `roaring64_bitmap_move_from_roaring32` function (#649)
2024-08-07	99ef8b25bcb7		deserialize/census-income	119.8	Add `roaring64_bitmap_move_from_roaring32` function (#649)
2024-08-07	99ef8b25bcb7		cardinality64/census-income	10.3	Add `roaring64_bitmap_move_from_roaring32` function (#649)
2024-08-07	99ef8b25bcb7		iterate64/census-income	33757.9	Add `roaring64_bitmap_move_from_roaring32` function (#649)
2024-08-07	99ef8b25bcb7		or_successive64/census-income	371.1	Add `roaring64_bitmap_move_from_roaring32` function (#649)
2024-08-07	99ef8b25bcb7		or_successive/weather_sept_85	3313.4	Add `roaring64_bitmap_move_from_roaring32` function (#649)
2024-08-07	99ef8b25bcb7		and_successive/weather_sept_85	2036.5	Add `roaring64_bitmap_move_from_roaring32` function (#649)
2024-08-07	99ef8b25bcb7		and_cardinality/weather_sept_85	1592.9	Add `roaring64_bitmap_move_from_roaring32` function (#649)
2024-08-07	99ef8b25bcb7		contains/weather_sept_85	17888.9	Add `roaring64_bitmap_move_from_roaring32` function (#649)
2024-08-07	99ef8b25bcb7		iterate/weather_sept_85	62152.2	Add `roaring64_bitmap_move_from_roaring32` function (#649)
2024-08-07	99ef8b25bcb7		to_array/weather_sept_85	5213.2	Add `roaring64_bitmap_move_from_roaring32` function (#649)
2024-08-07	99ef8b25bcb7		deserialize/weather_sept_85	562.2	Add `roaring64_bitmap_move_from_roaring32` function (#649)
2024-08-07	99ef8b25bcb7		cardinality64/weather_sept_85	29.2	Add `roaring64_bitmap_move_from_roaring32` function (#649)
2024-08-07	99ef8b25bcb7		iterate64/weather_sept_85	64875.0	Add `roaring64_bitmap_move_from_roaring32` function (#649)
2024-08-07	99ef8b25bcb7		or_successive64/weather_sept_85	1449.5	Add `roaring64_bitmap_move_from_roaring32` function (#649)
2024-08-08	bd85b01a1fdb		or_successive/census1881	797.9	adding deprecation to MSC_VER (#650)
2024-08-08	bd85b01a1fdb		and_successive/census1881	20.9	adding deprecation to MSC_VER (#650)
2024-08-08	bd85b01a1fdb		and_cardinality/census1881	14.8	adding deprecation to MSC_VER (#650)
2024-08-08	bd85b01a1fdb		contains/census1881	4947.6	adding deprecation to MSC_VER (#650)
2024-08-08	bd85b01a1fdb		iterate/census1881	2438.2	adding deprecation to MSC_VER (#650)
2024-08-08	bd85b01a1fdb		to_array/census1881	118.5	adding deprecation to MSC_VER (#650)
2024-08-08	bd85b01a1fdb		deserialize/census1881	347.3	adding deprecation to MSC_VER (#650)
2024-08-08	bd85b01a1fdb		cardinality64/census1881	16.3	adding deprecation to MSC_VER (#650)
2024-08-08	bd85b01a1fdb		iterate64/census1881	3310.7	adding deprecation to MSC_VER (#650)
2024-08-08	bd85b01a1fdb		or_successive64/census1881	587.1	adding deprecation to MSC_VER (#650)
2024-08-08	bd85b01a1fdb		or_successive/census-income	815.5	adding deprecation to MSC_VER (#650)
2024-08-08	bd85b01a1fdb		and_successive/census-income	665.9	adding deprecation to MSC_VER (#650)
2024-08-08	bd85b01a1fdb		and_cardinality/census-income	443.2	adding deprecation to MSC_VER (#650)
2024-08-08	bd85b01a1fdb		contains/census-income	14008.6	adding deprecation to MSC_VER (#650)
2024-08-08	bd85b01a1fdb		iterate/census-income	34276.7	adding deprecation to MSC_VER (#650)
2024-08-08	bd85b01a1fdb		to_array/census-income	1348.1	adding deprecation to MSC_VER (#650)
2024-08-08	bd85b01a1fdb		deserialize/census-income	120.5	adding deprecation to MSC_VER (#650)
2024-08-08	bd85b01a1fdb		cardinality64/census-income	10.5	adding deprecation to MSC_VER (#650)
2024-08-08	bd85b01a1fdb		iterate64/census-income	33779.9	adding deprecation to MSC_VER (#650)
2024-08-08	bd85b01a1fdb		or_successive64/census-income	371.9	adding deprecation to MSC_VER (#650)
2024-08-08	bd85b01a1fdb		or_successive/weather_sept_85	3318.6	adding deprecation to MSC_VER (#650)
2024-08-08	bd85b01a1fdb		and_successive/weather_sept_85	2047.7	adding deprecation to MSC_VER (#650)
2024-08-08	bd85b01a1fdb		and_cardinality/weather_sept_85	1596.6	adding deprecation to MSC_VER (#650)
2024-08-08	bd85b01a1fdb		contains/weather_sept_85	17905.2	adding deprecation to MSC_VER (#650)
2024-08-08	bd85b01a1fdb		iterate/weather_sept_85	62716.4	adding deprecation to MSC_VER (#650)
2024-08-08	bd85b01a1fdb		to_array/weather_sept_85	5208.8	adding deprecation to MSC_VER (#650)
2024-08-08	bd85b01a1fdb		deserialize/weather_sept_85	562.4	adding deprecation to MSC_VER (#650)
2024-08-08	bd85b01a1fdb		cardinality64/weather_sept_85	29.1	adding deprecation to MSC_VER (#650)
2024-08-08	bd85b01a1fdb		iterate64/weather_sept_85	65038.7	adding deprecation to MSC_VER (#650)
2024-08-08	bd85b01a1fdb		or_successive64/weather_sept_85	1445.2	adding deprecation to MSC_VER (#650)
2024-08-08	44cb4896ae16		or_successive/census1881	782.1	Bump github/codeql-action from 3.25.3 to 3.25.15 (#648)
2024-08-08	44cb4896ae16		and_successive/census1881	20.4	Bump github/codeql-action from 3.25.3 to 3.25.15 (#648)
2024-08-08	44cb4896ae16		and_cardinality/census1881	17.9	Bump github/codeql-action from 3.25.3 to 3.25.15 (#648)
2024-08-08	44cb4896ae16		contains/census1881	4908.7	Bump github/codeql-action from 3.25.3 to 3.25.15 (#648)
2024-08-08	44cb4896ae16		iterate/census1881	2449.4	Bump github/codeql-action from 3.25.3 to 3.25.15 (#648)
2024-08-08	44cb4896ae16		to_array/census1881	119.9	Bump github/codeql-action from 3.25.3 to 3.25.15 (#648)
2024-08-08	44cb4896ae16		deserialize/census1881	371.6	Bump github/codeql-action from 3.25.3 to 3.25.15 (#648)
2024-08-08	44cb4896ae16		cardinality64/census1881	22.2	Bump github/codeql-action from 3.25.3 to 3.25.15 (#648)
2024-08-08	44cb4896ae16		iterate64/census1881	3561.4	Bump github/codeql-action from 3.25.3 to 3.25.15 (#648)
2024-08-08	44cb4896ae16		or_successive64/census1881	588.2	Bump github/codeql-action from 3.25.3 to 3.25.15 (#648)
2024-08-08	44cb4896ae16		or_successive/census-income	821.1	Bump github/codeql-action from 3.25.3 to 3.25.15 (#648)
2024-08-08	44cb4896ae16		and_successive/census-income	666.2	Bump github/codeql-action from 3.25.3 to 3.25.15 (#648)
2024-08-08	44cb4896ae16		and_cardinality/census-income	444.6	Bump github/codeql-action from 3.25.3 to 3.25.15 (#648)
2024-08-08	44cb4896ae16		contains/census-income	13993.9	Bump github/codeql-action from 3.25.3 to 3.25.15 (#648)
2024-08-08	44cb4896ae16		iterate/census-income	34114.5	Bump github/codeql-action from 3.25.3 to 3.25.15 (#648)
2024-08-08	44cb4896ae16		to_array/census-income	1344.0	Bump github/codeql-action from 3.25.3 to 3.25.15 (#648)
2024-08-08	44cb4896ae16		deserialize/census-income	121.6	Bump github/codeql-action from 3.25.3 to 3.25.15 (#648)
2024-08-08	44cb4896ae16		cardinality64/census-income	11.6	Bump github/codeql-action from 3.25.3 to 3.25.15 (#648)
2024-08-08	44cb4896ae16		iterate64/census-income	33871.7	Bump github/codeql-action from 3.25.3 to 3.25.15 (#648)
2024-08-08	44cb4896ae16		or_successive64/census-income	366.9	Bump github/codeql-action from 3.25.3 to 3.25.15 (#648)
2024-08-08	44cb4896ae16		or_successive/weather_sept_85	3311.6	Bump github/codeql-action from 3.25.3 to 3.25.15 (#648)
2024-08-08	44cb4896ae16		and_successive/weather_sept_85	2046.1	Bump github/codeql-action from 3.25.3 to 3.25.15 (#648)
2024-08-08	44cb4896ae16		and_cardinality/weather_sept_85	1587.7	Bump github/codeql-action from 3.25.3 to 3.25.15 (#648)
2024-08-08	44cb4896ae16		contains/weather_sept_85	17862.6	Bump github/codeql-action from 3.25.3 to 3.25.15 (#648)
2024-08-08	44cb4896ae16		iterate/weather_sept_85	62674.6	Bump github/codeql-action from 3.25.3 to 3.25.15 (#648)
2024-08-08	44cb4896ae16		to_array/weather_sept_85	5206.6	Bump github/codeql-action from 3.25.3 to 3.25.15 (#648)
2024-08-08	44cb4896ae16		deserialize/weather_sept_85	566.1	Bump github/codeql-action from 3.25.3 to 3.25.15 (#648)
2024-08-08	44cb4896ae16		cardinality64/weather_sept_85	29.6	Bump github/codeql-action from 3.25.3 to 3.25.15 (#648)
2024-08-08	44cb4896ae16		iterate64/weather_sept_85	65119.5	Bump github/codeql-action from 3.25.3 to 3.25.15 (#648)
2024-08-08	44cb4896ae16		or_successive64/weather_sept_85	1445.9	Bump github/codeql-action from 3.25.3 to 3.25.15 (#648)
2024-08-08	e95e2190a3bc		or_successive/census1881	790.0	Bump ossf/scorecard-action from 2.3.1 to 2.4.0 (#647)
2024-08-08	e95e2190a3bc		and_successive/census1881	21.0	Bump ossf/scorecard-action from 2.3.1 to 2.4.0 (#647)
