date	sha	tag	metric	value	subject
2024-08-02	bbff6e9780ed	v2.3.2	or_successive/census1881	3104.3	Merge pull request #441 from RoaringBitmap/issue440
2024-08-02	bbff6e9780ed	v2.3.2	and_successive/census1881	38.6	Merge pull request #441 from RoaringBitmap/issue440
2024-08-02	bbff6e9780ed	v2.3.2	and_cardinality/census1881	31.3	Merge pull request #441 from RoaringBitmap/issue440
2024-08-02	bbff6e9780ed	v2.3.2	fast_or/census1881	5011.5	Merge pull request #441 from RoaringBitmap/issue440
2024-08-02	bbff6e9780ed	v2.3.2	contains/census1881	6428.4	Merge pull request #441 from RoaringBitmap/issue440
2024-08-02	bbff6e9780ed	v2.3.2	iterate/census1881	3383.0	Merge pull request #441 from RoaringBitmap/issue440
2024-08-02	bbff6e9780ed	v2.3.2	iterate_many/census1881	489.1	Merge pull request #441 from RoaringBitmap/issue440
2024-08-02	bbff6e9780ed	v2.3.2	to_array/census1881	858.0	Merge pull request #441 from RoaringBitmap/issue440
2024-08-02	bbff6e9780ed	v2.3.2	deserialize/census1881	372.9	Merge pull request #441 from RoaringBitmap/issue440
2024-08-02	bbff6e9780ed	v2.3.2	or_successive/census-income	2245.9	Merge pull request #441 from RoaringBitmap/issue440
2024-08-02	bbff6e9780ed	v2.3.2	and_successive/census-income	1929.6	Merge pull request #441 from RoaringBitmap/issue440
2024-08-02	bbff6e9780ed	v2.3.2	and_cardinality/census-income	1478.1	Merge pull request #441 from RoaringBitmap/issue440
2024-08-02	bbff6e9780ed	v2.3.2	fast_or/census-income	1051.7	Merge pull request #441 from RoaringBitmap/issue440
2024-08-02	bbff6e9780ed	v2.3.2	contains/census-income	17775.6	Merge pull request #441 from RoaringBitmap/issue440
2024-08-02	bbff6e9780ed	v2.3.2	iterate/census-income	33237.1	Merge pull request #441 from RoaringBitmap/issue440
2024-08-02	bbff6e9780ed	v2.3.2	iterate_many/census-income	8010.3	Merge pull request #441 from RoaringBitmap/issue440
2024-08-02	bbff6e9780ed	v2.3.2	to_array/census-income	7412.1	Merge pull request #441 from RoaringBitmap/issue440
2024-08-02	bbff6e9780ed	v2.3.2	deserialize/census-income	533.9	Merge pull request #441 from RoaringBitmap/issue440
2024-08-02	bbff6e9780ed	v2.3.2	or_successive/weather_sept_85	8781.9	Merge pull request #441 from RoaringBitmap/issue440
2024-08-02	bbff6e9780ed	v2.3.2	and_successive/weather_sept_85	7601.4	Merge pull request #441 from RoaringBitmap/issue440
2024-08-02	bbff6e9780ed	v2.3.2	and_cardinality/weather_sept_85	6750.7	Merge pull request #441 from RoaringBitmap/issue440
2024-08-02	bbff6e9780ed	v2.3.2	fast_or/weather_sept_85	1952.4	Merge pull request #441 from RoaringBitmap/issue440
2024-08-02	bbff6e9780ed	v2.3.2	contains/weather_sept_85	21466.3	Merge pull request #441 from RoaringBitmap/issue440
2024-08-02	bbff6e9780ed	v2.3.2	iterate/weather_sept_85	63808.4	Merge pull request #441 from RoaringBitmap/issue440
2024-08-02	bbff6e9780ed	v2.3.2	iterate_many/weather_sept_85	16367.1	Merge pull request #441 from RoaringBitmap/issue440
2024-08-02	bbff6e9780ed	v2.3.2	to_array/weather_sept_85	16883.6	Merge pull request #441 from RoaringBitmap/issue440
2024-08-02	bbff6e9780ed	v2.3.2	deserialize/weather_sept_85	1237.3	Merge pull request #441 from RoaringBitmap/issue440
2024-08-05	add9cb01c733	v2.3.3	or_successive/census1881	3079.6	Merge pull request #442 from RoaringBitmap/issue440
2024-08-05	add9cb01c733	v2.3.3	and_successive/census1881	45.1	Merge pull request #442 from RoaringBitmap/issue440
2024-08-05	add9cb01c733	v2.3.3	and_cardinality/census1881	25.9	Merge pull request #442 from RoaringBitmap/issue440
2024-08-05	add9cb01c733	v2.3.3	fast_or/census1881	5059.6	Merge pull request #442 from RoaringBitmap/issue440
2024-08-05	add9cb01c733	v2.3.3	contains/census1881	6419.7	Merge pull request #442 from RoaringBitmap/issue440
2024-08-05	add9cb01c733	v2.3.3	iterate/census1881	3407.5	Merge pull request #442 from RoaringBitmap/issue440
2024-08-05	add9cb01c733	v2.3.3	iterate_many/census1881	470.8	Merge pull request #442 from RoaringBitmap/issue440
2024-08-05	add9cb01c733	v2.3.3	to_array/census1881	913.3	Merge pull request #442 from RoaringBitmap/issue440
2024-08-05	add9cb01c733	v2.3.3	deserialize/census1881	315.1	Merge pull request #442 from RoaringBitmap/issue440
2024-08-05	add9cb01c733	v2.3.3	or_successive/census-income	2268.9	Merge pull request #442 from RoaringBitmap/issue440
2024-08-05	add9cb01c733	v2.3.3	and_successive/census-income	1919.0	Merge pull request #442 from RoaringBitmap/issue440
2024-08-05	add9cb01c733	v2.3.3	and_cardinality/census-income	1478.4	Merge pull request #442 from RoaringBitmap/issue440
2024-08-05	add9cb01c733	v2.3.3	fast_or/census-income	1028.6	Merge pull request #442 from RoaringBitmap/issue440
2024-08-05	add9cb01c733	v2.3.3	contains/census-income	17789.0	Merge pull request #442 from RoaringBitmap/issue440
2024-08-05	add9cb01c733	v2.3.3	iterate/census-income	32786.0	Merge pull request #442 from RoaringBitmap/issue440
2024-08-05	add9cb01c733	v2.3.3	iterate_many/census-income	7997.5	Merge pull request #442 from RoaringBitmap/issue440
2024-08-05	add9cb01c733	v2.3.3	to_array/census-income	7676.2	Merge pull request #442 from RoaringBitmap/issue440
2024-08-05	add9cb01c733	v2.3.3	deserialize/census-income	407.2	Merge pull request #442 from RoaringBitmap/issue440
2024-08-05	add9cb01c733	v2.3.3	or_successive/weather_sept_85	8618.7	Merge pull request #442 from RoaringBitmap/issue440
2024-08-05	add9cb01c733	v2.3.3	and_successive/weather_sept_85	7574.4	Merge pull request #442 from RoaringBitmap/issue440
2024-08-05	add9cb01c733	v2.3.3	and_cardinality/weather_sept_85	6713.7	Merge pull request #442 from RoaringBitmap/issue440
