date	sha	tag	metric	value	subject
2024-08-01	1f4fb3084fec		validate_utf8	20.283	fix issue 446 (#449)
2024-08-01	1f4fb3084fec		validate_ascii	82.599	fix issue 446 (#449)
2024-08-01	1f4fb3084fec		validate_utf16le	61.516	fix issue 446 (#449)
2024-08-01	1f4fb3084fec		utf8_to_utf16le	6.884	fix issue 446 (#449)
2024-08-01	1f4fb3084fec		utf16le_to_utf8	12.482	fix issue 446 (#449)
2024-08-01	1f4fb3084fec		base64_encode	31.865	fix issue 446 (#449)
2024-08-01	1f4fb3084fec		base64_decode	38.262	fix issue 446 (#449)
2024-08-01	81e9e8cd383c		validate_utf8	20.280	fix issue 448 (#450)
2024-08-01	81e9e8cd383c		validate_ascii	82.678	fix issue 448 (#450)
2024-08-01	81e9e8cd383c		validate_utf16le	61.625	fix issue 448 (#450)
2024-08-01	81e9e8cd383c		utf8_to_utf16le	6.848	fix issue 448 (#450)
2024-08-01	81e9e8cd383c		utf16le_to_utf8	12.458	fix issue 448 (#450)
2024-08-01	81e9e8cd383c		base64_encode	32.005	fix issue 448 (#450)
2024-08-01	81e9e8cd383c		base64_decode	38.136	fix issue 448 (#450)
2024-08-02	c878cc616115		validate_utf8	20.302	adding base64 demonstration (#451)
2024-08-02	c878cc616115		validate_ascii	82.680	adding base64 demonstration (#451)
2024-08-02	c878cc616115		validate_utf16le	61.516	adding base64 demonstration (#451)
2024-08-02	c878cc616115		utf8_to_utf16le	6.856	adding base64 demonstration (#451)
2024-08-02	c878cc616115		utf16le_to_utf8	12.452	adding base64 demonstration (#451)
2024-08-02	c878cc616115		base64_encode	32.052	adding base64 demonstration (#451)
2024-08-02	c878cc616115		base64_decode	38.036	adding base64 demonstration (#451)
2024-08-02	d7876285774e		validate_utf8	20.272	Merge branch 'base64_demo'
2024-08-02	d7876285774e		validate_ascii	82.679	Merge branch 'base64_demo'
2024-08-02	d7876285774e		validate_utf16le	61.505	Merge branch 'base64_demo'
2024-08-02	d7876285774e		utf8_to_utf16le	6.831	Merge branch 'base64_demo'
2024-08-02	d7876285774e		utf16le_to_utf8	12.426	Merge branch 'base64_demo'
2024-08-02	d7876285774e		base64_encode	31.842	Merge branch 'base64_demo'
2024-08-02	d7876285774e		base64_decode	38.253	Merge branch 'base64_demo'
2024-08-02	8dcbcc66073c		validate_utf8	20.286	reoptimizing convert_utf8_to_latin1_with_errors for icelake
2024-08-02	8dcbcc66073c		validate_ascii	82.668	reoptimizing convert_utf8_to_latin1_with_errors for icelake
2024-08-02	8dcbcc66073c		validate_utf16le	61.352	reoptimizing convert_utf8_to_latin1_with_errors for icelake
2024-08-02	8dcbcc66073c		utf8_to_utf16le	6.903	reoptimizing convert_utf8_to_latin1_with_errors for icelake
2024-08-02	8dcbcc66073c		utf16le_to_utf8	12.446	reoptimizing convert_utf8_to_latin1_with_errors for icelake
2024-08-02	8dcbcc66073c		base64_encode	31.829	reoptimizing convert_utf8_to_latin1_with_errors for icelake
2024-08-02	8dcbcc66073c		base64_decode	38.231	reoptimizing convert_utf8_to_latin1_with_errors for icelake
2024-08-02	0b4eccd2d42d		validate_utf8	20.291	various optimizations
2024-08-02	0b4eccd2d42d		validate_ascii	82.669	various optimizations
2024-08-02	0b4eccd2d42d		validate_utf16le	61.214	various optimizations
2024-08-02	0b4eccd2d42d		utf8_to_utf16le	6.854	various optimizations
2024-08-02	0b4eccd2d42d		utf16le_to_utf8	12.450	various optimizations
2024-08-02	0b4eccd2d42d		base64_encode	29.617	various optimizations
2024-08-02	0b4eccd2d42d		base64_decode	38.222	various optimizations
2024-08-02	e94339b14802		validate_utf8	20.294	fixing silly test
2024-08-02	e94339b14802		validate_ascii	82.685	fixing silly test
2024-08-02	e94339b14802		validate_utf16le	61.274	fixing silly test
2024-08-02	e94339b14802		utf8_to_utf16le	6.843	fixing silly test
2024-08-02	e94339b14802		utf16le_to_utf8	12.492	fixing silly test
2024-08-02	e94339b14802		base64_encode	32.077	fixing silly test
2024-08-02	e94339b14802		base64_decode	38.342	fixing silly test
2024-08-02	db15c475a69b		validate_utf8	20.286	Merge branch 'master' of github.com:simdutf/simdutf
2024-08-02	db15c475a69b		validate_ascii	82.568	Merge branch 'master' of github.com:simdutf/simdutf
2024-08-02	db15c475a69b		validate_utf16le	61.442	Merge branch 'master' of github.com:simdutf/simdutf
2024-08-02	db15c475a69b		utf8_to_utf16le	6.851	Merge branch 'master' of github.com:simdutf/simdutf
2024-08-02	db15c475a69b		utf16le_to_utf8	12.446	Merge branch 'master' of github.com:simdutf/simdutf
2024-08-02	db15c475a69b		base64_encode	32.085	Merge branch 'master' of github.com:simdutf/simdutf
2024-08-02	db15c475a69b		base64_decode	38.234	Merge branch 'master' of github.com:simdutf/simdutf
2024-08-02	2d4bf91a1ca0		validate_utf8	20.286	fixing utf8_to_latin1_avx512
2024-08-02	2d4bf91a1ca0		validate_ascii	82.672	fixing utf8_to_latin1_avx512
2024-08-02	2d4bf91a1ca0		validate_utf16le	61.540	fixing utf8_to_latin1_avx512
2024-08-02	2d4bf91a1ca0		utf8_to_utf16le	6.724	fixing utf8_to_latin1_avx512
2024-08-02	2d4bf91a1ca0		utf16le_to_utf8	12.454	fixing utf8_to_latin1_avx512
2024-08-02	2d4bf91a1ca0		base64_encode	32.001	fixing utf8_to_latin1_avx512
2024-08-02	2d4bf91a1ca0		base64_decode	38.252	fixing utf8_to_latin1_avx512
2024-08-02	dff7edcee9c0		validate_utf8	20.297	Merge branch 'master' of https://github.com/simdutf/simdutf
2024-08-02	dff7edcee9c0		validate_ascii	82.674	Merge branch 'master' of https://github.com/simdutf/simdutf
2024-08-02	dff7edcee9c0		validate_utf16le	61.545	Merge branch 'master' of https://github.com/simdutf/simdutf
2024-08-02	dff7edcee9c0		utf8_to_utf16le	6.862	Merge branch 'master' of https://github.com/simdutf/simdutf
2024-08-02	dff7edcee9c0		utf16le_to_utf8	12.422	Merge branch 'master' of https://github.com/simdutf/simdutf
2024-08-02	dff7edcee9c0		base64_encode	31.985	Merge branch 'master' of https://github.com/simdutf/simdutf
2024-08-02	dff7edcee9c0		base64_decode	38.198	Merge branch 'master' of https://github.com/simdutf/simdutf
2024-08-02	c35e25ffb51d		validate_utf8	20.273	fix for issue 458 (#460)
2024-08-02	c35e25ffb51d		validate_ascii	82.670	fix for issue 458 (#460)
2024-08-02	c35e25ffb51d		validate_utf16le	61.713	fix for issue 458 (#460)
2024-08-02	c35e25ffb51d		utf8_to_utf16le	6.869	fix for issue 458 (#460)
2024-08-02	c35e25ffb51d		utf16le_to_utf8	12.445	fix for issue 458 (#460)
2024-08-02	c35e25ffb51d		base64_encode	31.743	fix for issue 458 (#460)
2024-08-02	c35e25ffb51d		base64_decode	38.256	fix for issue 458 (#460)
2024-08-02	9a072c63bd4e		validate_utf8	20.296	more documentation
2024-08-02	9a072c63bd4e		validate_ascii	82.653	more documentation
2024-08-02	9a072c63bd4e		validate_utf16le	61.506	more documentation
2024-08-02	9a072c63bd4e		utf8_to_utf16le	6.855	more documentation
2024-08-02	9a072c63bd4e		utf16le_to_utf8	12.461	more documentation
2024-08-02	9a072c63bd4e		base64_encode	32.081	more documentation
2024-08-02	9a072c63bd4e		base64_decode	38.259	more documentation
2024-08-03	8efcb18c7bdc		validate_utf8	20.294	additional tests for the safe base64 decoder (#463)
2024-08-03	8efcb18c7bdc		validate_ascii	82.638	additional tests for the safe base64 decoder (#463)
2024-08-03	8efcb18c7bdc		validate_utf16le	61.494	additional tests for the safe base64 decoder (#463)
2024-08-03	8efcb18c7bdc		utf8_to_utf16le	6.848	additional tests for the safe base64 decoder (#463)
2024-08-03	8efcb18c7bdc		utf16le_to_utf8	12.394	additional tests for the safe base64 decoder (#463)
2024-08-03	8efcb18c7bdc		base64_encode	32.077	additional tests for the safe base64 decoder (#463)
2024-08-03	8efcb18c7bdc		base64_decode	38.174	additional tests for the safe base64 decoder (#463)
2024-08-03	eaae83bf5a54		validate_utf8	20.289	some endian-specific test must be disabled on big endian systems
2024-08-03	eaae83bf5a54		validate_ascii	82.651	some endian-specific test must be disabled on big endian systems
2024-08-03	eaae83bf5a54		validate_utf16le	61.407	some endian-specific test must be disabled on big endian systems
2024-08-03	eaae83bf5a54		utf8_to_utf16le	6.847	some endian-specific test must be disabled on big endian systems
2024-08-03	eaae83bf5a54		utf16le_to_utf8	12.493	some endian-specific test must be disabled on big endian systems
2024-08-03	eaae83bf5a54		base64_encode	31.879	some endian-specific test must be disabled on big endian systems
2024-08-03	eaae83bf5a54		base64_decode	38.281	some endian-specific test must be disabled on big endian systems
2024-08-03	a56fc5482bd2		validate_utf8	20.300	Moreissues (#465)
2024-08-03	a56fc5482bd2		validate_ascii	82.686	Moreissues (#465)
2024-08-03	a56fc5482bd2		validate_utf16le	61.461	Moreissues (#465)
