tc	idx	sha	date	bench	mbs	cb	ib	subject
clangpaper	000	8c5cc8c4435a	2026-02-02T11:28:08-05:00	serialization_twitter	3494.32	0.99	4.04	updating the reflection benchmarks (#2598)
clangpaper	000	8c5cc8c4435a	2026-02-02T11:28:08-05:00	serialization_citm	2779.61	1.25	6.17	updating the reflection benchmarks (#2598)
clangpaper	000	8c5cc8c4435a	2026-02-02T11:28:08-05:00	parsing_twitter	4792.27	0.72	2.61	updating the reflection benchmarks (#2598)
clangpaper	000	8c5cc8c4435a	2026-02-02T11:28:08-05:00	parsing_citm	2291.82	1.5	6.14	updating the reflection benchmarks (#2598)
clangpaper	001	b7124f7c6421	2026-02-06T20:34:00-05:00	serialization_twitter	3488.28	0.99	4.04	inlining get_single_implementation (#2600)
clangpaper	001	b7124f7c6421	2026-02-06T20:34:00-05:00	serialization_citm	2755.95	1.25	6.17	inlining get_single_implementation (#2600)
clangpaper	001	b7124f7c6421	2026-02-06T20:34:00-05:00	parsing_twitter	4794.83	0.72	2.61	inlining get_single_implementation (#2600)
clangpaper	001	b7124f7c6421	2026-02-06T20:34:00-05:00	parsing_citm	2292.55	1.5	6.14	inlining get_single_implementation (#2600)
clangpaper	002	e2ca00c841c3	2026-02-08T22:36:34-05:00	serialization_twitter	3458.93	1.0	4.04	reenabling bench_nlohmann_parsing in twitter bench
clangpaper	002	e2ca00c841c3	2026-02-08T22:36:34-05:00	serialization_citm	2794.53	1.24	6.17	reenabling bench_nlohmann_parsing in twitter bench
clangpaper	002	e2ca00c841c3	2026-02-08T22:36:34-05:00	parsing_twitter	4777.2	0.72	2.6	reenabling bench_nlohmann_parsing in twitter bench
clangpaper	002	e2ca00c841c3	2026-02-08T22:36:34-05:00	parsing_citm	2289.14	1.5	6.14	reenabling bench_nlohmann_parsing in twitter bench
clangpaper	003	6e60ed833808	2026-02-08T23:42:43-05:00	serialization_twitter	3495.6	0.99	4.04	updating rust
clangpaper	003	6e60ed833808	2026-02-08T23:42:43-05:00	serialization_citm	2751.99	1.25	6.17	updating rust
