"apache_builds"					3.008652	6.406997	5.681666
"canada"					1.041459	5.324176	1.297651
"citm_catalog"					3.301679	6.616575	6.608398
"github_events"					3.264271	6.731990	6.359926
"google_maps_api_compact_response"					1.356765	3.915147	2.078845
"google_maps_api_response"					2.625427	6.167769	4.584124
"gsoc-2018"					3.592098	6.938011	7.466058
"instruments"					2.718341	5.848445	5.093881
"marine_ik"					1.101479	4.186792	1.497588
"mesh"					1.003826	4.352306	1.306924
"mesh.pretty"					1.702407	5.918506	2.399534
"numbers"					1.181428	5.403059	1.515149
"random"					1.783304	3.681547	3.461441
"repeat"					2.675778	4.393037	6.899149
"semanticscholar-corpus"					2.428400	4.916563	4.816053
"tree-pretty"					2.867718	6.276062	5.297562
"twitter"					2.919680	5.624466	6.092235
"twitter_api_compact_response"					2.469968	5.381944	4.598357
"twitter_api_response"					3.078926	6.207977	6.152884
"twitter_timeline"					1.788246	5.713339	2.606814
"twitterescaped"					1.117583	6.003181	1.374187
"update-center"					2.434736	5.603788	4.320694
