"apache_builds"					3.006449	6.549089	5.567342
"canada"					1.009509	4.913886	1.272860
"citm_catalog"					3.343310	6.942110	6.456596
"github_events"					3.316800	7.035973	6.286873
"google_maps_api_compact_response"					1.290788	3.595738	2.022603
"google_maps_api_response"					2.572639	6.128669	4.455026
"gsoc-2018"					3.783664	7.667319	7.492887
"instruments"					2.637832	5.877461	4.793048
"marine_ik"					1.100212	3.861692	1.540746
"mesh"					0.993469	4.141466	1.308659
"mesh.pretty"					1.735111	6.396014	2.385425
"numbers"					1.193829	5.712046	1.512584
"random"					1.876240	4.296538	3.334897
"repeat"					2.779246	4.844710	6.549020
"semanticscholar-corpus"					2.251121	4.598631	4.449178
"tree-pretty"					2.714319	6.012876	4.967084
"twitter"					2.925333	5.814306	5.899363
"twitter_api_compact_response"					2.420130	5.387701	4.416922
"twitter_api_response"					3.019200	6.187830	5.914308
"twitter_timeline"					1.760735	5.633320	2.569230
"twitterescaped"					1.099963	6.149627	1.341222
"update-center"					2.487406	5.777077	4.371458
